Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000000B4,false,Rx,0,7,00,00,00,00,00,10,3B,00,
0,000000F0,false,Rx,0,8,00,00,10,00,80,00,10,E9,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,10,C7,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,10,64,
0,0000015A,false,Rx,0,4,00,00,01,EC,00,00,00,00,
0,00000160,false,Rx,0,8,00,00,00,42,0F,FF,10,B3,
0,00000175,false,Rx,0,8,00,00,00,00,00,00,10,C7,
0,00000177,false,Rx,0,8,00,00,00,00,27,10,10,C9,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,10,C7,
0,000001D8,false,Rx,0,8,00,00,00,00,E0,00,10,57,
0,0000038C,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
0,00000212,false,Rx,0,8,00,00,00,00,00,00,10,C7,
0,000003D2,false,Rx,0,8,7B,00,00,00,00,00,00,00,
0,00000234,false,Rx,0,8,00,7D,00,00,00,00,00,FF,
0,00000240,false,Rx,0,8,00,00,00,00,00,00,0F,FF,
0,00000242,false,Rx,0,8,DD,00,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000282,false,Rx,0,8,00,00,00,05,00,00,00,00,
0,000002A4,false,Rx,0,8,00,00,00,00,EE,00,00,00,
0,000002A5,false,Rx,0,6,00,00,01,40,00,00,00,00,
0,000002D0,false,Rx,0,8,FF,24,42,7F,FF,FF,00,00,
0,0000015A,false,Rx,0,4,00,00,02,CB,00,00,00,00,
0,000002D2,false,Rx,0,8,FF,FF,FF,FF,FF,FF,00,00,
0,00000300,false,Rx,0,6,00,00,20,00,10,ED,00,00,
0,00000301,false,Rx,0,8,00,00,00,00,00,00,10,C7,
0,00000320,false,Rx,0,8,3D,09,00,3D,09,00,00,80,
0,00000321,false,Rx,0,8,3D,09,00,01,90,00,00,00,
0,00000322,false,Rx,0,8,00,00,00,EE,00,00,00,00,
0,00000323,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000039E,false,Rx,0,3,01,10,00,00,00,00,00,00,
0,000003D1,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000003E0,false,Rx,0,8,00,59,41,52,54,44,44,45,
0,000003E7,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000003EE,false,Rx,0,8,00,00,28,28,42,00,00,00,
0,000003EF,false,Rx,0,7,00,00,00,00,80,00,7E,00,
0,000003FD,false,Rx,0,8,47,18,71,23,00,00,00,00,
0,000005A8,false,Rx,0,8,00,00,00,00,00,00,01,17,
0,000000B4,false,Rx,0,7,00,00,00,00,00,20,71,00,
0,000000F0,false,Rx,0,8,00,00,10,00,80,00,20,A3,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,20,8D,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,20,2E,
0,00000175,false,Rx,0,8,00,00,00,00,00,00,20,8D,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,20,8D,
0,0000015A,false,Rx,0,4,00,00,03,D6,00,00,00,00,
0,000000B4,false,Rx,0,7,00,00,00,00,00,30,BC,00,
0,000000F0,false,Rx,0,8,00,00,10,00,80,00,30,6E,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,30,40,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,30,E3,
0,00000160,false,Rx,0,8,00,00,00,42,0F,FF,20,F9,
0,00000175,false,Rx,0,8,00,00,00,00,00,00,30,40,
0,00000177,false,Rx,0,8,00,00,00,00,27,10,20,83,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,30,40,
0,000001D8,false,Rx,0,8,00,00,00,00,E0,00,20,1D,
0,00000212,false,Rx,0,8,00,00,00,00,00,00,20,8D,
0,00000300,false,Rx,0,6,00,00,20,00,21,BA,00,00,
0,0000015A,false,Rx,0,4,00,00,04,85,00,00,00,00,
0,000000B4,false,Rx,0,7,00,00,00,00,00,40,E5,00,
0,000000F0,false,Rx,0,8,00,00,10,00,80,00,40,37,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,40,19,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,40,BA,
0,00000175,false,Rx,0,8,00,00,00,00,00,00,40,19,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,40,19,
0,0000015A,false,Rx,0,4,00,00,05,98,00,00,00,00,
0,000000B4,false,Rx,0,7,00,00,00,00,00,50,28,00,
0,000000F0,false,Rx,0,8,00,00,10,00,80,00,50,FA,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,50,D4,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,50,77,
0,00000160,false,Rx,0,8,00,00,00,42,0F,FF,30,34,
0,00000175,false,Rx,0,8,00,00,00,00,00,00,50,D4,
0,00000177,false,Rx,0,8,00,00,00,00,27,10,30,4E,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,50,D4,
0,000001D8,false,Rx,0,8,00,00,00,00,E0,00,30,D0,
0,00000212,false,Rx,0,8,00,00,00,00,00,00,30,40,
0,00000300,false,Rx,0,6,00,00,20,00,31,77,00,00,
0,0000015A,false,Rx,0,4,00,00,06,BF,00,00,00,00,
0,000000B4,false,Rx,0,7,00,00,00,00,00,60,62,00,
0,000000F0,false,Rx,0,8,00,02,10,00,80,00,60,3C,
0,000000F2,false,Rx,0,8,00,00,00,00,00,00,60,9E,
0,00000108,false,Rx,0,8,00,00,00,3D,09,00,60,3D,
0,00000175,false,Rx,0,8,00,00,00,2E,00,00,60,21,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,60,9E,
0,00000234,false,Rx,0,8,C0,84,01,3B,00,0E,01,63,
0,00000240,false,Rx,0,8,00,00,00,00,00,00,0F,FF,
